Setting,App,Feature,Classifier,Precision,Recall,F1
beyond-apps,phoenix,doc2vec-distance-content_tags,svm-rbf,0.9074956672443674,0.937975817286162,0.9224840343536664
beyond-apps,phoenix,doc2vec-distance-all,svm-rbf,0.9610051993067592,0.993282579489476,0.9768773397929972
beyond-apps,phoenix,DOM-RTED,svm-rbf,0.1505632582322357,0.1556202418271383,0.1530499889892094
beyond-apps,phoenix,VISUAL_Hyst,svm-rbf,0.9675043327556326,1.0,0.983483814137855
beyond-apps,phoenix,VISUAL-PDiff,svm-rbf,0.4685875216637781,0.4843260188087774,0.476326800264259
beyond-apps,ppma,doc2vec-distance-tags,svm-rbf,0.8212996389891697,1.0,0.9018830525272546
beyond-apps,ppma,doc2vec-distance-content,svm-rbf,0.8212996389891697,1.0,0.9018830525272546
beyond-apps,ppma,doc2vec-distance-content_tags,svm-rbf,0.8212996389891697,1.0,0.9018830525272546
beyond-apps,ppma,doc2vec-distance-all,svm-rbf,0.8212996389891697,1.0,0.9018830525272546
beyond-apps,ppma,DOM-RTED,svm-rbf,0.8212996389891697,1.0,0.9018830525272546
beyond-apps,ppma,VISUAL_Hyst,svm-rbf,0.8212996389891697,1.0,0.9018830525272546
beyond-apps,ppma,VISUAL-PDiff,svm-rbf,0.8212996389891697,1.0,0.9018830525272546
